Value,ID,Channel,Folder 1,Filename
0.123577051,54,138Ba_138Ba,C01,138Ba_138Ba
0.199202514,55,138Ba_138Ba,C01,138Ba_138Ba
0.143224448,56,138Ba_138Ba,C01,138Ba_138Ba
0.098921675,57,138Ba_138Ba,C01,138Ba_138Ba
0.236059328,58,138Ba_138Ba,C01,138Ba_138Ba
0.190591512,59,138Ba_138Ba,C01,138Ba_138Ba
0.152646484,60,138Ba_138Ba,C01,138Ba_138Ba
0.114398316,61,138Ba_138Ba,C01,138Ba_138Ba
0.169826512,62,138Ba_138Ba,C01,138Ba_138Ba
0.153820618,63,138Ba_138Ba,C01,138Ba_138Ba
0.161763804,64,138Ba_138Ba,C01,138Ba_138Ba
0.138104523,65,138Ba_138Ba,C01,138Ba_138Ba
0.172870954,66,138Ba_138Ba,C01,138Ba_138Ba
0.1080823,67,138Ba_138Ba,C01,138Ba_138Ba
0.2485997,68,138Ba_138Ba,C01,138Ba_138Ba
0.219400529,69,138Ba_138Ba,C01,138Ba_138Ba
0.152783256,70,138Ba_138Ba,C01,138Ba_138Ba
0.110367118,71,138Ba_138Ba,C01,138Ba_138Ba
0.126000484,72,138Ba_138Ba,C01,138Ba_138Ba
0.114365045,73,138Ba_138Ba,C01,138Ba_138Ba
0.130213786,74,138Ba_138Ba,C01,138Ba_138Ba
0.148708412,75,138Ba_138Ba,C01,138Ba_138Ba
0.184336378,76,138Ba_138Ba,C01,138Ba_138Ba
0.100827895,77,138Ba_138Ba,C01,138Ba_138Ba
0.124626519,78,138Ba_138Ba,C01,138Ba_138Ba
0.116901452,79,138Ba_138Ba,C01,138Ba_138Ba
0.134538875,80,138Ba_138Ba,C01,138Ba_138Ba
0.151868135,81,138Ba_138Ba,C01,138Ba_138Ba
0.127092353,82,138Ba_138Ba,C01,138Ba_138Ba
0.134384961,83,138Ba_138Ba,C01,138Ba_138Ba
0.131016539,84,138Ba_138Ba,C01,138Ba_138Ba
0.135263529,85,138Ba_138Ba,C01,138Ba_138Ba
0.123209349,86,138Ba_138Ba,C01,138Ba_138Ba
0.104428241,87,138Ba_138Ba,C01,138Ba_138Ba
0.134716799,88,138Ba_138Ba,C01,138Ba_138Ba
0.119174972,89,138Ba_138Ba,C01,138Ba_138Ba
0.131938725,90,138Ba_138Ba,C01,138Ba_138Ba
0.137046894,91,138Ba_138Ba,C01,138Ba_138Ba
0.154480807,92,138Ba_138Ba,C01,138Ba_138Ba
0.114447446,93,138Ba_138Ba,C01,138Ba_138Ba
0.114552628,94,138Ba_138Ba,C01,138Ba_138Ba
0.100742658,95,138Ba_138Ba,C01,138Ba_138Ba
0.144588008,96,138Ba_138Ba,C01,138Ba_138Ba
0.135151359,97,138Ba_138Ba,C01,138Ba_138Ba
0.113757147,98,138Ba_138Ba,C01,138Ba_138Ba
0.127882399,99,138Ba_138Ba,C01,138Ba_138Ba
0.133086869,100,138Ba_138Ba,C01,138Ba_138Ba
0.098335938,101,138Ba_138Ba,C01,138Ba_138Ba
0.125747066,102,138Ba_138Ba,C01,138Ba_138Ba
0.13098427,103,138Ba_138Ba,C01,138Ba_138Ba
0.103641597,104,138Ba_138Ba,C01,138Ba_138Ba
0.10081253,105,138Ba_138Ba,C01,138Ba_138Ba
0.121467192,106,138Ba_138Ba,C01,138Ba_138Ba
0.151070178,107,138Ba_138Ba,C01,138Ba_138Ba
0.098387267,108,138Ba_138Ba,C01,138Ba_138Ba
0.127144511,109,138Ba_138Ba,C01,138Ba_138Ba
0.121460129,110,138Ba_138Ba,C01,138Ba_138Ba
0.129606334,111,138Ba_138Ba,C01,138Ba_138Ba
0.111063496,112,138Ba_138Ba,C01,138Ba_138Ba
0.108099933,113,138Ba_138Ba,C01,138Ba_138Ba
0.119491952,114,138Ba_138Ba,C01,138Ba_138Ba
0.108598116,115,138Ba_138Ba,C01,138Ba_138Ba
0.105184134,116,138Ba_138Ba,C01,138Ba_138Ba
0.098034369,117,138Ba_138Ba,C01,138Ba_138Ba
0.121366221,118,138Ba_138Ba,C01,138Ba_138Ba
0.11154182,119,138Ba_138Ba,C01,138Ba_138Ba
0.112133257,120,138Ba_138Ba,C01,138Ba_138Ba
0.101053672,121,138Ba_138Ba,C01,138Ba_138Ba
0.111925704,122,138Ba_138Ba,C01,138Ba_138Ba
0.090677072,123,138Ba_138Ba,C01,138Ba_138Ba
0.114295651,124,138Ba_138Ba,C01,138Ba_138Ba
0.112338817,125,138Ba_138Ba,C01,138Ba_138Ba
0.097535668,126,138Ba_138Ba,C01,138Ba_138Ba
0.169640679,127,138Ba_138Ba,C01,138Ba_138Ba
0.127448089,128,138Ba_138Ba,C01,138Ba_138Ba
0.126662772,129,138Ba_138Ba,C01,138Ba_138Ba
0.108739587,130,138Ba_138Ba,C01,138Ba_138Ba
0.097631465,131,138Ba_138Ba,C01,138Ba_138Ba
0.106258515,132,138Ba_138Ba,C01,138Ba_138Ba
0.120283753,133,138Ba_138Ba,C01,138Ba_138Ba
0.123320814,134,138Ba_138Ba,C01,138Ba_138Ba
0.121556337,135,138Ba_138Ba,C01,138Ba_138Ba
0.105855735,136,138Ba_138Ba,C01,138Ba_138Ba
1.615964102,1,153Eu_SDHA,C01,153Eu_SDHA
1.924695736,2,153Eu_SDHA,C01,153Eu_SDHA
1.681585296,3,153Eu_SDHA,C01,153Eu_SDHA
1.7906049,4,153Eu_SDHA,C01,153Eu_SDHA
1.346750599,5,153Eu_SDHA,C01,153Eu_SDHA
1.713758899,6,153Eu_SDHA,C01,153Eu_SDHA
1.210332459,7,153Eu_SDHA,C01,153Eu_SDHA
1.141962248,8,153Eu_SDHA,C01,153Eu_SDHA
0.905816403,9,153Eu_SDHA,C01,153Eu_SDHA
1.583073527,10,153Eu_SDHA,C01,153Eu_SDHA
1.252264555,11,153Eu_SDHA,C01,153Eu_SDHA
1.159751205,12,153Eu_SDHA,C01,153Eu_SDHA
0.926446222,13,153Eu_SDHA,C01,153Eu_SDHA
1.195384024,14,153Eu_SDHA,C01,153Eu_SDHA
1.661494366,15,153Eu_SDHA,C01,153Eu_SDHA
1.116645919,16,153Eu_SDHA,C01,153Eu_SDHA
1.536066732,17,153Eu_SDHA,C01,153Eu_SDHA
0.97104558,18,153Eu_SDHA,C01,153Eu_SDHA
1.194875186,19,153Eu_SDHA,C01,153Eu_SDHA
1.301835003,20,153Eu_SDHA,C01,153Eu_SDHA
0.953157129,21,153Eu_SDHA,C01,153Eu_SDHA
1.972821087,22,153Eu_SDHA,C01,153Eu_SDHA
1.668952593,23,153Eu_SDHA,C01,153Eu_SDHA
1.47308635,24,153Eu_SDHA,C01,153Eu_SDHA
1.325567812,25,153Eu_SDHA,C01,153Eu_SDHA
0.949044494,26,153Eu_SDHA,C01,153Eu_SDHA
1.269761465,27,153Eu_SDHA,C01,153Eu_SDHA
1.033742607,28,153Eu_SDHA,C01,153Eu_SDHA
1.45266766,29,153Eu_SDHA,C01,153Eu_SDHA
1.176867819,30,153Eu_SDHA,C01,153Eu_SDHA
1.254125385,31,153Eu_SDHA,C01,153Eu_SDHA
1.071582853,32,153Eu_SDHA,C01,153Eu_SDHA
1.647895164,33,153Eu_SDHA,C01,153Eu_SDHA
1.196934618,34,153Eu_SDHA,C01,153Eu_SDHA
1.351241041,35,153Eu_SDHA,C01,153Eu_SDHA
1.063466181,36,153Eu_SDHA,C01,153Eu_SDHA
0.983310048,37,153Eu_SDHA,C01,153Eu_SDHA
1.321351865,38,153Eu_SDHA,C01,153Eu_SDHA
