value	id	channel	patient_type	replicate	subject_group	patrep_id	cell_id	cluster
0.131605856	116	Cs	Control	1	Control	C01R01	C01R01_0116	1
0.139259711	117	Cs	Control	1	Control	C01R01	C01R01_0117	1
0.135663635	118	Cs	Control	1	Control	C01R01	C01R01_0118	1
0.136516676	119	Cs	Control	1	Control	C01R01	C01R01_0119	1
0.12379273	120	Cs	Control	1	Control	C01R01	C01R01_0120	1
0.138008657	121	Cs	Control	1	Control	C01R01	C01R01_0121	1
0.13364239	122	Cs	Control	1	Control	C01R01	C01R01_0122	1
0.134796667	123	Cs	Control	1	Control	C01R01	C01R01_0123	1
0.135006731	124	Cs	Control	1	Control	C01R01	C01R01_0124	1
0.140275686	125	Cs	Control	1	Control	C01R01	C01R01_0125	1
0.131633922	126	Cs	Control	1	Control	C01R01	C01R01_0126	1
0.138679725	127	Cs	Control	1	Control	C01R01	C01R01_0127	1
0.132106421	128	Cs	Control	1	Control	C01R01	C01R01_0128	1
0.165791657	129	Cs	Control	1	Control	C01R01	C01R01_0129	1
0.137992255	130	Cs	Control	1	Control	C01R01	C01R01_0130	1
0.127787128	131	Cs	Control	1	Control	C01R01	C01R01_0131	1
0.115044348	132	Cs	Control	1	Control	C01R01	C01R01_0132	1
0.128981103	133	Cs	Control	1	Control	C01R01	C01R01_0133	1
0.134982058	134	Cs	Control	1	Control	C01R01	C01R01_0134	1
0.137823386	135	Cs	Control	1	Control	C01R01	C01R01_0135	1
0.135477303	136	Cs	Control	1	Control	C01R01	C01R01_0136	1
3.266983312	1	Xe	Control	1	Control	C01R01	C01R01_0001	1
3.284539072	2	Xe	Control	1	Control	C01R01	C01R01_0002	1
3.282812685	3	Xe	Control	1	Control	C01R01	C01R01_0003	1
3.287441931	4	Xe	Control	1	Control	C01R01	C01R01_0004	1
3.283681489	5	Xe	Control	1	Control	C01R01	C01R01_0005	1
3.28602979	6	Xe	Control	1	Control	C01R01	C01R01_0006	1
3.28359583	7	Xe	Control	1	Control	C01R01	C01R01_0007	1
3.283497357	8	Xe	Control	1	Control	C01R01	C01R01_0008	1
3.286058948	9	Xe	Control	1	Control	C01R01	C01R01_0009	1
3.289470275	10	Xe	Control	1	Control	C01R01	C01R01_0010	1
